Over,Ball,RPB,Cumulative,New_Cumulative,Ratio,Runs
1,0.1,0.87,0.87,0,1,0
1,0.2,0.89,1.76,0,1,0
1,0.3,0.91,2.67,0,1,0
1,0.4,0.95,3.62,0,1,0
1,0.5,0.97,4.59,0,1,0
1,0.6,0.99,5.58,0,1,2
2,1.1,1.21,6.79,0,1,0
2,1.2,1.23,8.02,0,1,0
2,1.3,1.25,9.27,0,1,0
2,1.4,1.29,10.56,0,1,0
2,1.5,1.31,11.87,0,1,0
2,1.6,1.33,13.2,0,1,0
3,2.1,1.34,14.54,0,1,0
3,2.2,1.36,15.9,0,1,0
3,2.3,1.38,17.279999999999998,0,1,0
3,2.4,1.42,18.7,0,1,0
3,2.5,1.44,20.14,0,1,0
3,2.6,1.46,21.6,0,1,0
4,3.1,1.16,22.76,0,1,0
4,3.2,1.18,23.94,0,1,0
4,3.3,1.2,25.14,0,1,0
4,3.4,1.24,26.379999999999995,0,1,0
4,3.5,1.26,27.64,0,1,0
4,3.6,1.28,28.92,0,1,0
5,4.1,1.43,30.35,0,1,0
5,4.2,1.45,31.8,0,1,0
5,4.3,1.47,33.27,0,1,0
5,4.4,1.51,34.779999999999994,0,1,0
5,4.5,1.53,36.31,0,1,0
5,4.6,1.55,37.85999999999999,0,1,0
6,5.1,1.44,39.29999999999999,0,1,0
6,5.2,1.46,40.75999999999999,0,1,0
6,5.3,1.48,42.23999999999999,0,1,0
6,5.4,1.52,43.75999999999999,0,1,0
6,5.5,1.54,45.29999999999999,0,1,0
6,5.6,1.56,46.85999999999999,0,1,0
7,6.1,1.07,47.92999999999999,0,1,0
7,6.2,1.09,49.02,0,1,0
7,6.3,1.11,50.13,0,1,0
7,6.4,1.15,51.28,0,1,0
7,6.5,1.17,52.45,0,1,0
7,6.6,1.19,53.63999999999999,0,1,0
8,7.1,1.09,54.73,0,1,0
8,7.2,1.11,55.84,0,1,0
8,7.3,1.13,56.97,0,1,0
8,7.4,1.17,58.14,0,1,0
8,7.5,1.19,59.33,0,1,0
8,7.6,1.21,60.54,0,1,0
9,8.1,1.14,61.68,0,1,0
9,8.2,1.16,62.84,0,1,0
9,8.3,1.18,64.02,0,1,0
9,8.4,1.22,65.24,0,1,0
9,8.5,1.24,66.47999999999999,0,1,0
9,8.6,1.26,67.74,0,1,0
10,9.1,1.16,68.89999999999999,0,1,0
10,9.2,1.18,70.08,0,1,0
10,9.3,1.2,71.28,0,1,0
10,9.4,1.24,72.52,0,1,0
10,9.5,1.26,73.78,0,1,0
10,9.6,1.28,75.06,0,1,0
11,10.1,1.18,76.24000000000001,0,1,0
11,10.2,1.2,77.44000000000001,0,1,0
11,10.3,1.22,78.66000000000001,0,1,0
11,10.4,1.26,79.92000000000002,0,1,0
11,10.5,1.28,81.20000000000002,0,1,0
11,10.6,1.3,82.50000000000001,0,1,0
12,11.1,1.2,83.70000000000002,0,1,0
12,11.2,1.22,84.92000000000002,0,1,0
12,11.3,1.24,86.16000000000001,0,1,0
12,11.4,1.28,87.44000000000001,0,1,0
12,11.5,1.3,88.74000000000001,0,1,0
12,11.6,1.32,90.06,0,1,0
13,12.1,1.23,91.29,0,1,0
13,12.2,1.25,92.54,0,1,0
13,12.3,1.27,93.81,0,1,0
13,12.4,1.31,95.12,0,1,0
13,12.5,1.33,96.45,0,1,0
13,12.6,1.35,97.8,0,1,0
14,13.1,1.27,99.07,0,1,0
14,13.2,1.29,100.36,0,1,0
14,13.3,1.31,101.67,0,1,0
14,13.4,1.35,103.02,0,1,0
14,13.5,1.37,104.39,0,1,0
14,13.6,1.39,105.78,0,1,0
15,14.1,1.31,107.09,0,1,0
15,14.2,1.33,108.42,0,1,0
15,14.3,1.35,109.77,0,1,0
15,14.4,1.39,111.16,0,1,0
15,14.5,1.41,112.57,0,1,0
15,14.6,1.43,114.0,0,1,0
16,15.1,1.38,115.38,0,1,0
16,15.2,1.4,116.78,0,1,0
16,15.3,1.42,118.2,0,1,0
16,15.4,1.46,119.66,0,1,0
16,15.5,1.48,121.14,0,1,0
16,15.6,1.5,122.64,0,1,0
17,16.1,1.45,124.09,0,1,0
17,16.2,1.47,125.56,0,1,0
17,16.3,1.49,127.05,0,1,0
17,16.4,1.53,128.57999999999998,0,1,0
17,16.5,1.55,130.13,0,1,0
17,16.6,1.57,131.7,0,1,0
18,17.1,1.54,133.23999999999998,0,1,0
18,17.2,1.56,134.79999999999998,0,1,0
18,17.3,1.58,136.38,0,1,0
18,17.4,1.62,138.0,0,1,0
18,17.5,1.64,139.64,0,1,0
18,17.6,1.66,141.29999999999998,0,1,0
19,18.1,1.62,142.92,0,1,0
19,18.2,1.64,144.55999999999997,0,1,0
19,18.3,1.66,146.21999999999997,0,1,0
19,18.4,1.7,147.91999999999996,0,1,0
19,18.5,1.72,149.63999999999996,0,1,0
19,18.6,1.74,151.37999999999997,0,1,0
20,19.1,1.72,153.09999999999997,0,1,0
20,19.2,1.74,154.83999999999995,0,1,0
20,19.3,1.76,156.59999999999997,0,1,0
20,19.4,1.8,158.39999999999998,0,1,0
20,19.5,1.82,160.21999999999997,0,1,0
20,19.6,1.84,162.05999999999997,0,1,0
