wrID,wrTemplateName,wrMatchTypeID,wrIsPredefineMarket,wrIsOver,wrOver,wrIsPlayer,wrIsAutoCancel,wrAutoOpenType,wrAutoOpen,wrAutoCloseType,wrBeforeAutoClose,wrAutoSuspendType,wrBeforeAutoSuspend,wrIsBallStart,wrIsAutoResultSet,wrAutoResultType,wrAutoResultafterBall,wrAfterWicketAutoSuspend,wrAfterWicketNotCreated,wrCreatedBy,wrIsActive,wrPlayerName,wrCreateType,wrCreate,wrActionType,wrMarketTypeId,wrMarketTypeCategoryId,wrMargin,wrCreateRefId,wrOpenRefId,wrIsPredefineRunnerValue,wrTemplateType,wrDelay,wrIsDefaultBetAllowed,wrIsDefaultMarketActive,wrIsPerEvent,wrIsShowInAdvanceMarket,wrLineType,wrDefaultBackSize,wrDefaultLaySize,wrIsDeleted,wrDeletedBy,wrDeletedAt,wrBeforeSuspendMin,wrBeforeCloseMin,wrDefaultIsSendData,wrRateDiff
100,10 OVER L.D.O,2,False,True,10,False,False,2,0.00,2,8.30,2,8.20,False,True,1,2.00,8,8,20,True,,2,0.00,0,2,26,3.00,,,True,3,5,True,True,False,True,1,100,100,False,,,,,False,1.0
102,20 OVER L.D.O,2,False,True,20,False,False,2,0.00,2,18.30,2,18.20,False,True,1,2.00,8,8,20,True,,2,0.00,0,2,26,3.00,,,True,3,5,True,True,False,True,1,100,100,False,,,,,False,1.0
101,15 OVER L.D.O,2,False,True,15,False,False,2,0.00,2,13.30,2,13.20,False,True,1,2.00,8,8,20,True,,2,0.00,0,2,26,3.00,,,True,3,5,True,True,False,True,1,100,100,False,,,,,False,1.0
98,4 OVER L.D.O,2,False,True,4,False,False,2,0.00,2,2.30,2,2.20,False,True,1,2.00,8,8,20,True,,2,0.00,0,2,26,3.00,,,True,3,5,True,True,False,True,1,100,100,False,,,,,False,1.0
83,ONLY {x} OVER RUN,2,False,True,3,False,True,1,5.00,1,5.00,1,5.00,True,True,1,2.00,7,8,33,True,,1,4.00,2,2,11,5.00,0,0,False,3,1,True,True,False,True,1,100,100,False,,,,,False,1.0
64,15 over Runs,2,False,True,15,False,True,2,6.10,2,14.50,2,14.50,True,True,1,2.00,8,8,7,True,,2,5.40,1,2,23,5.00,,,False,3,1,True,True,False,True,1,100,100,False,,,,,False,1.0
99,6 OVER L.D.O,2,False,True,6,False,False,2,0.00,2,4.30,2,4.20,False,True,1,2.00,8,8,20,True,,2,0.00,0,2,26,3.00,,,True,3,5,True,True,False,True,1,100,100,False,,,,,False,1.0
51,10 Over Runs,2,True,True,10,False,True,2,0.00,2,9.50,2,9.50,True,True,2,2.00,9,0,1,True,,2,0.00,1,2,23,5.00,,,False,3,1,True,True,False,True,1,100,100,False,,,,,False,1.0
50,6 over Runs,2,True,True,6,False,True,2,0.00,2,5.50,2,5.50,True,True,2,2.00,0,0,1,True,,2,0.00,1,2,23,5.00,,,False,3,1,True,True,False,True,1,100,100,False,,,,,False,0.0
139,12 over Runs,2,False,True,12,False,True,2,8.10,2,11.50,2,11.40,True,True,1,2.00,8,8,7,True,,2,7.40,1,2,23,5.00,,,True,3,1,True,True,False,True,1,100,100,False,,,,,False,1.0
143,16 over Runs,2,False,True,16,False,True,2,12.10,2,15.50,2,15.40,True,True,1,2.00,8,8,1,True,,2,11.40,1,2,23,5.00,,,False,3,1,True,True,False,True,1,100,100,False,,,,,False,1.0
87,20 OVER RUNS,2,True,True,20,False,True,2,0.00,2,19.50,2,19.50,True,False,0,0.00,9,9,33,True,,2,0.00,1,2,23,5.00,,,False,3,1,True,True,False,True,1,100,100,False,,,,,False,1.0
152,20 OVER Last Digit Lottery,2,False,True,20,False,False,2,0.00,2,17.50,2,17.40,False,True,1,2.00,8,11,1,True,,2,0.00,0,5,28,3.00,,,True,3,2,True,True,False,True,1,100,100,False,,,,,False,1.0
149,6 OVER Last Digit Lottery,2,False,True,6,False,False,2,0.00,2,2.50,2,2.40,False,True,1,2.00,8,11,1,True,,2,0.00,0,5,28,3.00,,,True,3,2,True,True,False,True,1,100,100,False,,,,,False,1.0
150,10 OVER Last Digit Lottery,2,False,True,10,False,False,2,0.00,2,7.50,2,7.40,False,True,1,2.00,8,11,1,True,,2,0.00,0,5,28,3.00,,,True,3,2,True,True,False,True,1,100,100,False,,,,,False,1.0
138,8 over Runs,2,False,True,8,False,True,2,4.10,2,7.50,2,7.40,True,True,1,2.00,8,8,7,True,,2,3.40,1,2,23,5.00,,,False,3,1,True,True,False,True,1,100,100,False,,,,,False,1.0
151,15 OVER Last Digit Lottery,2,False,True,15,False,False,2,0.00,2,12.40,2,12.40,False,True,1,2.00,8,11,1,True,,2,0.00,0,5,28,3.00,,,True,3,2,True,True,False,True,1,100,100,False,,,,,False,1.0
274,{player} boundaries,2,False,False,,True,False,2,0.40,2,40.00,0,0.00,True,True,1,3.00,7,7,24,True,,1,0.30,1,2,29,5.00,,,False,3,1,True,True,False,True,2,90,110,False,,,,,True,1.0
56,4 Over Runs,2,True,True,4,False,True,2,0.00,2,3.50,2,3.50,True,True,1,2.00,6,6,1,True,,2,0.00,1,2,23,5.00,,,False,3,1,True,True,False,True,1,100,100,False,,,,,False,1.0
266,{player} runs,2,False,False,,True,False,2,0.40,2,15.00,2,15.00,True,True,1,3.00,7,7,1,True,,1,0.30,1,2,12,5.00,,,False,3,1,True,True,False,True,2,90,110,False,,,,,True,0.0
