wrMatchTypePredictorId,wrMatchTypeId,wrOver,wrBall,wrRunPerBall,wrOrder,wrIsDeleted,wrDeletedBy,wrDeletedAt
3119,2,1,0.1,0.87,1,False,,
3120,2,1,0.2,0.89,2,False,,
3121,2,1,0.3,0.91,3,False,,
3122,2,1,0.4,0.95,4,False,,
3123,2,1,0.5,0.97,5,False,,
3124,2,1,0.6,0.99,6,False,,
3125,2,2,1.1,1.21,7,False,,
3126,2,2,1.2,1.23,8,False,,
3127,2,2,1.3,1.25,9,False,,
3128,2,2,1.4,1.29,10,False,,
3129,2,2,1.5,1.31,11,False,,
3130,2,2,1.6,1.33,12,False,,
3131,2,3,2.1,1.34,13,False,,
3132,2,3,2.2,1.36,14,False,,
3133,2,3,2.3,1.38,15,False,,
3134,2,3,2.4,1.42,16,False,,
3135,2,3,2.5,1.44,17,False,,
3136,2,3,2.6,1.46,18,False,,
3137,2,4,3.1,1.16,19,False,,
3138,2,4,3.2,1.18,20,False,,
3139,2,4,3.3,1.2,21,False,,
3140,2,4,3.4,1.24,22,False,,
3141,2,4,3.5,1.26,23,False,,
3142,2,4,3.6,1.28,24,False,,
3143,2,5,4.1,1.43,25,False,,
3144,2,5,4.2,1.45,26,False,,
3145,2,5,4.3,1.47,27,False,,
3146,2,5,4.4,1.51,28,False,,
3147,2,5,4.5,1.53,29,False,,
3148,2,5,4.6,1.55,30,False,,
3149,2,6,5.1,1.44,31,False,,
3150,2,6,5.2,1.46,32,False,,
3151,2,6,5.3,1.48,33,False,,
3152,2,6,5.4,1.52,34,False,,
3153,2,6,5.5,1.54,35,False,,
3154,2,6,5.6,1.56,36,False,,
3155,2,7,6.1,1.07,37,False,,
3156,2,7,6.2,1.09,38,False,,
3157,2,7,6.3,1.11,39,False,,
3158,2,7,6.4,1.15,40,False,,
3159,2,7,6.5,1.17,41,False,,
3160,2,7,6.6,1.19,42,False,,
3161,2,8,7.1,1.09,43,False,,
3162,2,8,7.2,1.11,44,False,,
3163,2,8,7.3,1.13,45,False,,
3164,2,8,7.4,1.17,46,False,,
3165,2,8,7.5,1.19,47,False,,
3166,2,8,7.6,1.21,48,False,,
3167,2,9,8.1,1.14,49,False,,
3168,2,9,8.2,1.16,50,False,,
3169,2,9,8.3,1.18,51,False,,
3170,2,9,8.4,1.22,52,False,,
3171,2,9,8.5,1.24,53,False,,
3172,2,9,8.6,1.26,54,False,,
3173,2,10,9.1,1.16,55,False,,
3174,2,10,9.2,1.18,56,False,,
3175,2,10,9.3,1.2,57,False,,
3176,2,10,9.4,1.24,58,False,,
3177,2,10,9.5,1.26,59,False,,
3178,2,10,9.6,1.28,60,False,,
3179,2,11,10.1,1.18,61,False,,
3180,2,11,10.2,1.2,62,False,,
3181,2,11,10.3,1.22,63,False,,
3182,2,11,10.4,1.26,64,False,,
3183,2,11,10.5,1.28,65,False,,
3184,2,11,10.6,1.3,66,False,,
3185,2,12,11.1,1.2,67,False,,
3186,2,12,11.2,1.22,68,False,,
3187,2,12,11.3,1.24,69,False,,
3188,2,12,11.4,1.28,70,False,,
3189,2,12,11.5,1.3,71,False,,
3190,2,12,11.6,1.32,72,False,,
3191,2,13,12.1,1.23,73,False,,
3192,2,13,12.2,1.25,74,False,,
3193,2,13,12.3,1.27,75,False,,
3194,2,13,12.4,1.31,76,False,,
3195,2,13,12.5,1.33,77,False,,
3196,2,13,12.6,1.35,78,False,,
3197,2,14,13.1,1.27,79,False,,
3198,2,14,13.2,1.29,80,False,,
3199,2,14,13.3,1.31,81,False,,
3200,2,14,13.4,1.35,82,False,,
3201,2,14,13.5,1.37,83,False,,
3202,2,14,13.6,1.39,84,False,,
3203,2,15,14.1,1.31,85,False,,
3204,2,15,14.2,1.33,86,False,,
3205,2,15,14.3,1.35,87,False,,
3206,2,15,14.4,1.39,88,False,,
3207,2,15,14.5,1.41,89,False,,
3208,2,15,14.6,1.43,90,False,,
3209,2,16,15.1,1.38,91,False,,
3210,2,16,15.2,1.4,92,False,,
3211,2,16,15.3,1.42,93,False,,
3212,2,16,15.4,1.46,94,False,,
3213,2,16,15.5,1.48,95,False,,
3214,2,16,15.6,1.5,96,False,,
3215,2,17,16.1,1.45,97,False,,
3216,2,17,16.2,1.47,98,False,,
3217,2,17,16.3,1.49,99,False,,
3218,2,17,16.4,1.53,100,False,,
3219,2,17,16.5,1.55,101,False,,
3220,2,17,16.6,1.57,102,False,,
3221,2,18,17.1,1.54,103,False,,
3222,2,18,17.2,1.56,104,False,,
3223,2,18,17.3,1.58,105,False,,
3224,2,18,17.4,1.62,106,False,,
3225,2,18,17.5,1.64,107,False,,
3226,2,18,17.6,1.66,108,False,,
3227,2,19,18.1,1.62,109,False,,
3228,2,19,18.2,1.64,110,False,,
3229,2,19,18.3,1.66,111,False,,
3230,2,19,18.4,1.7,112,False,,
3231,2,19,18.5,1.72,113,False,,
3232,2,19,18.6,1.74,114,False,,
3233,2,20,19.1,1.72,115,False,,
3234,2,20,19.2,1.74,116,False,,
3235,2,20,19.3,1.76,117,False,,
3236,2,20,19.4,1.8,118,False,,
3237,2,20,19.5,1.82,119,False,,
3238,2,20,19.6,1.84,120,False,,
